MARKET_DAY,NODE,TYPE,VALUE,HE1,HE2,HE3,HE4,HE5,HE6,HE7,HE8,HE9,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,source_zip
11/18/2022,MEC.PPWIND,Gennode,LMP,-11.83,-21.83,-22.0,-21.42,-20.0,-1.0,6.67,13.89,15.54,20.3,19.72,9.43,12.86,15.2,8.4,15.55,19.98,38.05,37.36,24.57,-6.6,-15.0,-20.0,-24.74,2022_Oct-Dec_DA_LMPs.zip
11/19/2022,MEC.PPWIND,Gennode,LMP,-18.0,-10.2,-15.63,-8.85,-7.81,-3.37,-4.68,-0.65,-12.0,-6.2,-0.73,-2.86,-1.54,-1.41,-1.59,-0.79,3.76,32.14,52.61,50.9,50.26,47.26,43.88,45.27,2022_Oct-Dec_DA_LMPs.zip
11/20/2022,MEC.PPWIND,Gennode,LMP,36.4,20.09,13.29,0.7,-2.09,-9.69,-6.6,2.3,1.57,7.29,12.54,17.63,18.72,17.88,14.75,12.68,11.73,20.93,18.88,14.67,10.38,5.91,-1.09,-3.38,2022_Oct-Dec_DA_LMPs.zip
11/21/2022,MEC.PPWIND,Gennode,LMP,-7.26,-9.62,-8.95,-8.13,-4.81,2.09,12.77,34.96,41.47,46.07,45.51,46.5,47.89,49.13,51.98,57.3,67.02,84.57,92.43,81.08,70.98,63.4,63.44,54.37,2022_Oct-Dec_DA_LMPs.zip
11/22/2022,MEC.PPWIND,Gennode,LMP,53.71,47.36,38.88,35.13,25.34,25.08,27.56,36.81,30.1,31.67,38.35,46.24,47.05,44.2,42.73,44.47,48.23,62.87,59.3,51.6,45.44,43.11,40.54,42.26,2022_Oct-Dec_DA_LMPs.zip
11/23/2022,MEC.PPWIND,Gennode,LMP,44.23,38.55,39.06,39.23,41.98,42.64,55.62,62.45,54.38,49.26,48.3,47.41,47.18,50.07,48.15,42.22,41.7,45.44,35.0,24.63,20.3,20.82,17.93,16.57,2022_Oct-Dec_DA_LMPs.zip
11/24/2022,MEC.PPWIND,Gennode,LMP,17.32,20.13,25.73,27.66,28.52,32.26,32.99,38.75,36.28,37.89,42.62,37.24,30.95,26.3,16.63,13.79,15.23,17.45,16.4,13.07,10.2,13.23,13.08,14.07,2022_Oct-Dec_DA_LMPs.zip
11/25/2022,MEC.PPWIND,Gennode,LMP,17.28,15.33,17.78,18.4,19.28,21.41,28.58,33.47,34.81,39.93,40.87,41.03,40.2,36.97,34.99,36.55,33.12,31.77,17.75,7.77,4.9,-4.88,-5.2,-5.2,2022_Oct-Dec_DA_LMPs.zip
11/26/2022,MEC.PPWIND,Gennode,LMP,-16.04,-10.2,-27.11,-27.12,-14.07,-13.6,-27.07,-13.0,-27.02,-9.4,-17.0,0.43,10.68,11.06,12.21,19.94,26.69,46.18,45.11,39.25,27.89,21.15,13.51,4.5,2022_Oct-Dec_DA_LMPs.zip
11/27/2022,MEC.PPWIND,Gennode,LMP,-24.88,-27.21,-27.22,-24.83,-21.71,-27.24,-27.43,-27.26,-27.29,-5.01,14.17,21.55,27.52,27.43,31.38,36.75,41.58,61.4,70.44,65.57,56.29,60.24,48.49,46.29,2022_Oct-Dec_DA_LMPs.zip
11/28/2022,MEC.PPWIND,Gennode,LMP,31.33,20.92,12.26,5.8,2.75,-7.96,-4.84,1.27,-1.26,2.78,3.74,5.01,2.44,-0.04,5.87,16.36,31.83,43.66,49.98,40.45,35.68,34.65,27.76,32.95,2022_Oct-Dec_DA_LMPs.zip
11/29/2022,MEC.PPWIND,Gennode,LMP,35.1,23.15,18.0,14.61,13.15,-5.5,-4.15,5.12,33.7,25.59,24.61,19.62,12.96,7.88,6.01,5.83,7.63,15.4,13.59,8.35,5.72,0.32,-1.9,-4.77,2022_Oct-Dec_DA_LMPs.zip
11/30/2022,MEC.PPWIND,Gennode,LMP,-2.14,-4.71,-5.92,-6.49,-5.69,-3.84,2.44,10.72,13.0,14.39,13.97,13.8,12.26,16.18,19.01,32.17,41.63,59.23,63.93,66.51,64.29,59.5,59.44,55.78,2022_Oct-Dec_DA_LMPs.zip
12/1/2022,MEC.PPWIND,Gennode,LMP,56.42,48.19,35.66,27.66,16.62,-15.0,-22.06,-21.91,-26.73,-26.8,-26.76,-26.88,-26.83,-27.05,-27.36,-25.01,-25.01,-12.0,-12.0,-25.01,-13.8,-13.8,-14.47,-24.57,2022_Oct-Dec_DA_LMPs.zip
12/2/2022,MEC.PPWIND,Gennode,LMP,-27.05,-27.06,-27.19,-24.1,-24.59,-19.57,-19.44,-19.3,-13.66,-12.0,-12.0,-9.62,0.48,8.2,6.93,7.01,-2.52,-9.5,-9.5,-9.5,-6.02,-10.0,-10.0,-12.0,2022_Oct-Dec_DA_LMPs.zip
12/3/2022,MEC.PPWIND,Gennode,LMP,-11.3,-12.97,-21.0,-12.0,-5.62,2.11,12.4,30.25,34.77,37.52,44.68,48.99,46.22,49.12,52.67,53.94,74.45,75.9,57.12,30.53,1.5,-12.83,-14.0,-15.0,2022_Oct-Dec_DA_LMPs.zip
12/4/2022,MEC.PPWIND,Gennode,LMP,4.13,3.62,4.87,8.25,12.6,17.55,27.47,30.91,30.15,33.82,34.22,38.71,39.06,35.39,32.66,32.08,25.2,39.75,17.87,2.57,-2.16,-3.62,-7.45,-4.4,2022_Oct-Dec_DA_LMPs.zip
12/5/2022,MEC.PPWIND,Gennode,LMP,-6.55,-5.73,-3.78,1.81,8.69,15.31,30.33,42.08,46.48,48.35,48.17,44.32,40.84,37.83,34.77,31.73,37.58,48.39,45.98,45.62,37.78,38.67,46.98,47.84,2022_Oct-Dec_DA_LMPs.zip
12/6/2022,MEC.PPWIND,Gennode,LMP,40.27,39.33,37.16,36.83,38.0,36.87,42.58,53.49,51.61,47.52,52.06,53.23,47.89,44.02,47.72,48.06,56.41,74.34,74.42,62.11,60.49,56.73,52.31,47.33,2022_Oct-Dec_DA_LMPs.zip
12/7/2022,MEC.PPWIND,Gennode,LMP,54.34,44.41,41.22,37.97,36.55,39.22,47.67,68.1,56.49,54.72,56.21,63.49,64.46,60.02,57.71,61.33,60.74,66.57,59.14,44.04,40.7,40.93,35.61,38.31,2022_Oct-Dec_DA_LMPs.zip
12/8/2022,MEC.PPWIND,Gennode,LMP,26.75,24.15,22.69,22.3,24.87,27.28,38.91,55.63,41.8,43.05,45.41,50.44,49.09,49.76,49.45,47.34,43.2,47.07,42.06,36.78,37.12,39.01,34.7,31.49,2022_Oct-Dec_DA_LMPs.zip
12/9/2022,MEC.PPWIND,Gennode,LMP,32.32,26.63,26.45,25.43,26.79,33.45,36.95,53.29,54.0,56.08,61.39,59.27,58.46,56.03,55.19,55.5,51.75,58.57,54.29,44.92,42.28,41.56,33.7,33.65,2022_Oct-Dec_DA_LMPs.zip
12/10/2022,MEC.PPWIND,Gennode,LMP,33.26,29.22,32.39,30.95,30.83,29.46,32.09,39.92,41.42,40.04,44.53,44.68,42.53,43.02,41.89,43.02,48.62,63.26,59.26,51.94,51.99,48.46,47.22,44.51,2022_Oct-Dec_DA_LMPs.zip
12/11/2022,MEC.PPWIND,Gennode,LMP,50.12,45.7,43.55,42.87,41.55,40.81,42.54,44.71,45.52,41.84,45.58,41.79,42.69,42.55,40.1,38.14,38.07,43.33,36.17,28.76,26.06,21.15,18.09,15.18,2022_Oct-Dec_DA_LMPs.zip
12/12/2022,MEC.PPWIND,Gennode,LMP,6.4,5.06,3.19,2.73,3.16,5.36,0.18,8.54,8.3,6.34,4.19,3.65,-0.01,-0.8,2.39,1.93,-0.2,-0.2,-1.7,-1.27,-1.33,-1.17,-10.0,-7.0,2022_Oct-Dec_DA_LMPs.zip
12/13/2022,MEC.PPWIND,Gennode,LMP,7.13,4.41,-0.2,11.02,15.01,16.99,23.16,34.53,34.79,31.33,30.07,24.48,24.41,23.96,20.6,19.88,22.88,36.21,29.17,21.33,17.85,17.78,12.04,17.42,2022_Oct-Dec_DA_LMPs.zip
12/14/2022,MEC.PPWIND,Gennode,LMP,3.64,2.33,3.68,4.01,6.14,9.62,17.66,26.38,36.71,37.25,36.05,37.88,44.85,42.78,44.15,44.97,53.91,78.22,76.5,75.24,75.2,66.53,59.03,56.88,2022_Oct-Dec_DA_LMPs.zip
12/15/2022,MEC.PPWIND,Gennode,LMP,48.51,45.39,37.67,31.53,29.66,26.74,31.04,34.79,35.4,23.62,23.74,16.29,14.6,13.52,15.31,14.53,14.69,21.88,21.9,16.98,14.2,11.35,3.93,3.08,2022_Oct-Dec_DA_LMPs.zip
12/16/2022,MEC.PPWIND,Gennode,LMP,0.16,2.04,0.9,0.05,-0.53,3.27,2.28,13.02,17.33,15.67,16.69,15.24,12.51,10.71,10.73,9.24,11.76,18.71,24.4,18.25,14.95,9.54,7.67,9.41,2022_Oct-Dec_DA_LMPs.zip
12/17/2022,MEC.PPWIND,Gennode,LMP,-7.33,-6.57,-8.9,-5.27,-5.81,-7.47,-3.79,-1.11,5.73,7.53,8.44,8.89,6.6,6.42,10.01,12.97,14.71,30.17,37.24,34.64,28.54,35.21,37.03,41.15,2022_Oct-Dec_DA_LMPs.zip
